tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
157,0.9999999999999999,7.918101667794371e-24,7.582109702391926e-17,1.6809101747919657e-58,0.9999999999999999,0.9999999999999999,0.78,0.8,0.78,0.8,0.53999989,0.25000002,5.707549324444543e-17,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
158,0.9999999999999999,6.962476162020654e-24,7.438876345255627e-17,1.3343253226795346e-58,0.9999999999999999,0.9999999999999999,0.78,0.8,0.78,0.8,0.53999989,0.25000002,5.708369304626316e-17,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
159,0.9999999999999999,6.122183869383067e-24,7.29834880423144e-17,1.0592023853768357e-58,0.9999999999999999,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,5.709096610681497e-17,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.179999999999996,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
160,1,1.1889883954319744e-24,1.8839709813142312e-17,3.7069096845559706e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
161,1,7.985311914882771e-25,1.5680407355342946e-17,1.3851027601701295e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
162,1,7.021574890835897e-25,1.5384189353371548e-17,1.0995100839561861e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
163,1,5.496999068831101e-25,1.4381643120738575e-17,5.289610910408593e-61,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
164,1,4.833573321627649e-25,1.4109960026431762e-17,4.198952383492865e-61,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
165,1,4.250215574535039e-25,1.3843409287524986e-17,3.33317542962314e-61,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,rescue,-1,-1,-1,-1
166,1,1.2915362605984405e-24,1.7199204303381093e-17,2.2569359608226113e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
167,1,1.1356624105215341e-24,1.687429476380147e-17,1.7915810430288974e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
168,1,9.986007749205419e-25,1.6555523078453222e-17,1.4221770973823347e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
169,1,8.780809318272299e-25,1.624277329735651e-17,1.1289401080619823e-60,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
170,1,7.721064735804222e-25,1.5935931660938315e-17,8.961653017313114e-61,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,1,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
171,1,1.578543679795624e-25,3.4455638736106354e-18,2.5921398956030988e-62,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
172,1,1.3880312734538144e-25,3.380473852466638e-18,2.0576696806890146e-62,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,2.465190328815662e-32,1,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
173,1,3.8207130449182124e-26,1.2867851337412565e-18,1.1165496169403067e-63,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,1.232595164407831e-32,0,1,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
174,1,3.359596101848793e-26,1.2624765228330423e-18,8.863295911073727e-64,1,1,0.78,0.8,0.78,0.8,0.53999989,0.25000002,0,0,0,rescue,rescue,Cooperar,Cooperar,Liberar,Liberar,true,true,true,-2.37,true,true,true,true,16.18,0,20000002.599999998,true,16.18,-2.37,-693932.47,-18.55,true,true,continue,-1,-1,-1,-1
