tau,DC,PAR,ELN,FARC,iota,iota_post,alpha,gamma,alpha_R,gamma_R,alpha_N,gamma_N,Delta_H,V,d,a_S,a_S_t,a_F,a_F_t,a_K,a_K_t,match_S,match_F,match_K,U_rel,IR_K,IC_K,IR_F,Gamma_formal,IR_K_gap_E,IC_K_gap_E_min,IR_F_gap_E,IR_K_true,IR_K_true_gap,IR_K_true_U_rel,IR_K_true_V_cont,IR_K_true_U_kill,IC_F,IC_S,m,kh(DC),kh(PAR),kh(ELN),kh(FARC)
28,0.9999399848270489,0.0000017377464555862132,0.00005827742647017964,2.5298657953110334e-14,0.9999399848270489,0.9999416479951125,0.78000763,0.80001034,0.78,0.8,0.25,0,0.0000075764652006679416,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18048920904802,0,20000002.599999998,true,16.18,-2.37,-693940.11,-18.55,true,true,continue,-1,-1,-1,-1
29,0.9999416479951125,0.000001472410509348718,0.000056879594359409687,1.877799009537355e-14,0.9999416479951125,0.9999732629510227,0.78000743,0.80001008,0.78,0.8,0.25,0,0.0000073583716235662905,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180473391031583,0,20000002.599999998,true,16.18,-2.37,-693939.91,-18.55,true,true,continue,-1,-1,-1,-1
30,0.9999732629510227,4.308446596161058e-7,0.00002630620431604918,1.6245997870805915e-15,0.9999732629510227,0.9999670990408297,0.78000342,0.80000464,0.78,0.8,0.25,0,0.0000033625323679824606,1,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18021437092736,0,20000002.599999998,true,16.18,-2.37,-693935.89,-18.55,true,true,death,-1,-1,-1,-1
31,0.9999670990408297,0.0000022965797296474582,0.00003060437943978184,8.778823549769383e-16,0.9999670990408297,0.9999681837838215,0.78000409,0.80000553,0.78,0.8,0.25,0,0.000004203883613763037,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180282179924465,0,20000002.599999998,true,16.18,-2.37,-693936.56,-18.55,true,true,continue,-1,-1,-1,-1
32,0.9999681837838216,0.0000019459192416237903,0.000029870296936101674,6.516129091741921e-16,0.9999681837838216,0.9999862580568101,0.78000397,0.80000538,0.78,0.8,0.25,0,0.000004054984101014138,1,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.1802700143163,0,20000002.599999998,true,16.18,-2.37,-693936.44,-18.55,true,true,continue,-1,-1,-1,-1
33,0.9999862580568102,6.180402907338396e-7,0.000013123902899113517,5.4726388964739815e-17,0.9999862580568102,0.9999866672231429,0.78000173,0.80000235,0.78,0.8,0.25,0,0.000001743090436604047,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18011430805347,0,20000002.599999998,true,16.18,-2.37,-693934.2,-18.55,true,true,continue,-1,-1,-1,-1
34,0.9999866672231429,5.236733441828666e-7,0.000012809103512949948,4.06210528622269e-17,0.9999866672231429,0.9999870544300636,0.78000169,0.80000228,0.78,0.8,0.25,0,0.000001688344685810535,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180110113737843,0,20000002.599999998,true,16.18,-2.37,-693934.16,-18.55,true,true,continue,-1,-1,-1,-1
35,0.9999870544300636,4.43715043509586e-7,0.000012501854892903585,3.015126771113937e-17,0.9999870544300636,0.9999874220586735,0.78000164,0.80000222,0.78,0.8,0.25,0,0.0000016368870584201629,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180106241797603,0,20000002.599999998,true,16.18,-2.37,-693934.11,-18.55,true,true,continue,-1,-1,-1,-1
36,0.9999874220586735,3.759653688823001e-7,0.000012201975957605703,2.23799954948531e-17,0.9999874220586735,0.9999877721498235,0.7800016,0.80000217,0.78,0.8,0.25,0,0.0000015883371387232013,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.1801026506389,0,20000002.599999998,true,16.18,-2.37,-693934.07,-18.55,true,true,continue,-1,-1,-1,-1
37,0.9999877721498235,3.185602150899175e-7,0.000011909289961407258,1.6611713265497572e-17,0.9999877721498235,0.9999881064554919,0.78000156,0.80000211,0.78,0.8,0.25,0,0.0000015423696606052333,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180099304835725,0,20000002.599999998,true,16.18,-2.37,-693934.03,-18.55,true,true,continue,-1,-1,-1,-1
38,0.9999881064554921,2.6992010542868166e-7,0.000011623624402543303,1.2330164623682938e-17,0.9999881064554921,0.9999884264823695,0.78000152,0.80000206,0.78,0.8,0.25,0,0.0000014987061928815751,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180096174192688,0,20000002.599999998,true,16.18,-2.37,-693933.99,-18.55,true,true,continue,-1,-1,-1,-1
39,0.9999884264823695,2.2870672691689148e-7,0.000011344810903668383,9.152154410875203e-18,0.9999884264823695,0.9999887335287617,0.78000148,0.80000201,0.78,0.8,0.25,0,0.0000014571080271587073,0,1,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18009323295043,0,20000002.599999998,true,16.18,-2.37,-693933.95,-18.55,true,true,continue,-1,-1,-1,-1
40,0.9999887335287618,1.9378611126235455e-7,0.000011072685126895189,6.793253446642404e-18,0.9999887335287618,0.9999890287158942,0.78000144,0.80000196,0.78,0.8,0.25,0,0.00000141737019391486,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180090459112638,0,20000002.599999998,true,16.18,-2.37,-693933.91,-18.55,true,true,continue,-1,-1,-1,-1
41,0.9999890287158942,1.6419743279949844e-7,0.00001080708667308741,5.042342163926151e-18,0.9999890287158942,0.9999893130144403,0.7800014,0.80000191,0.78,0.8,0.25,0,0.000001379316371881629,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.18008783387551,0,20000002.599999998,true,16.18,-2.37,-693933.87,-18.55,true,true,continue,-1,-1,-1,-1
42,0.9999893130144403,1.391265718241566e-7,0.000010547858987902485,3.742715570912353e-18,0.9999893130144403,0.9999895872670165,0.78000137,0.80000186,0.78,0.8,0.25,0,0.00000134279458158796,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180085341144256,0,20000002.599999998,true,16.18,-2.37,-693933.84,-18.55,true,true,continue,-1,-1,-1,-1
43,0.9999895872670163,1.178837142952546e-7,0.000010294849269332366,2.778058269595326e-18,0.9999895872670163,0.9999898522072483,0.78000134,0.80000181,0.78,0.8,0.25,0,0.0000013076735203907514,0,0,rescue,rescue,Cooperar,Cooperar,continue,continue,true,true,true,-2.37,true,true,true,true,16.180082967123386,0,20000002.599999998,true,16.18,-2.37,-693933.81,-18.55,true,true,continue,-1,-1,-1,-1
